No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
1,"How to Keep the Gutters Clear of Ice and Leaves | Wirecutter","https://www.nytimes.com/wirecutter/blog/keep-gutters-clear/","https://www.leafguard.com/",95,57,1,"leafguard","2022-08-22","2026-08-28"
2,"-","https://goo.gl/hLpKCr","https://www.leafguard.com/reviews-testimonials",95,57,1,"-","2025-05-22","2026-08-20"
3,"Starling Gutters Blog","https://feeds.feedburner.com/StarlingGuttersBlog","https://www.leafguard.com/",95,48,50,"leafguard","2017-07-12","2018-06-26"
4,"-","https://bit.ly/2oN8XjX","https://www.leafguard.com/locations/oklahoma",94,54,"-","-","2021-11-14","2026-07-25"
5,"-","https://www.usatoday.com/money/homefront/local-pros/gutter-installation-griffin-ga/","https://www.leafguard.com/locations/northern-georgia",94,46,1,"www.leafguard.com/locations/northern-...","2024-08-23","2024-08-23"
6,"
    Got gutter clutter? We've found the best gutter guards of 2023 - CBS News","https://www.cbsnews.com/news/best-gutter-guards-of-2023/","https://www.leafguard.com/warranty",93,53,3,"lifetime warranty","2023-09-16","2026-06-22"
7,"-","https://lifehacker.com/prevent-leaves-from-clogging-your-gutters-with-these-qu-1658709748","https://www.leafguard.com/",92,46,1,"all in one gutter replacement","2016-09-22","2024-07-03"
8,"Englert Leaf Guard - Chicago Tribune","https://mylocal.chicagotribune.com/denver-or/englert-leaf-guard-503-427-1015","https://www.leafguard.com/",92,43,2,"http://www.leafguard.com/","2020-05-17","2025-01-09"
9,"WEB DIRECTORY","https://isonade.pages.dev/07/WlFpziIrJt","https://pages.leafguard.com/LeafGuardOffers.html",92,42,"-","guttercentralillinois.com","2024-03-20","2026-07-04"
10,"Lou Manfredini’s simple fall fix-ups","https://www.today.com/home/lou-manfredini-s-simple-fall-fix-ups-wbna33411918","https://www.leafguard.com/",92,41,1,"leaf guard","2017-06-18","2026-05-20"
11,"LeafGuard Holdings, Inc | BBB Business Profile | Better Business Bureau","https://www.bbb.org/us/nj/e-brunswick/profile/gutter-guards/leafguard-holdings-inc-0221-90158382","https://www.leafguard.com/",91,56,5,"visit website","2025-12-24","2026-07-06"
12,"LeafGuard - Crunchbase Company Profile & Funding","https://www.crunchbase.com/organization/leafguard","https://www.leafguard.com/",91,48,1,"www.leafguard.com/","2024-11-26","2026-06-19"
13,"fluid dynamics - What explains the effect of water's path falling around a ball/curve? - Physics Stack Exchange","https://physics.stackexchange.com/questions/77509/what-explains-the-effect-of-waters-path-falling-around-a-ball-curve","https://www.leafguard.com/how-it-works",91,44,9,"gutters","2024-06-03","2026-08-02"
