# ----------------------------------------
# Events: Event name
# Account: MicroMeshGutterGuards
# Property: micromeshgutterguards.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260827
# End date: 20260903
Event name,Event count,Total users,Event count per active user,Total revenue
page_view,245,101,2.45,0
user_engagement,206,58,3.6785714285714284,0
session_start,135,101,1.35,0
first_visit,94,93,1.010752688172043,0
scroll,54,30,1.8,0
video_start,15,10,1.5,0
form_start,13,5,2.6,0
video_progress,11,5,2.2,0
form_submit,9,5,1.8,0
click,1,1,1,0
