No,Keywords,Volume,Position,Est. Visits,SEO Difficulty,CPC,Ranking URL
1,american home shield,246000,3,11785,37,10.1,http://thisoldhouse.com/home-finances/american-home-shield-review
2,maintenance air conditioner unit,74000,2,7971,27,34.95,http://thisoldhouse.com/heating-cooling/air-conditioner-maintenance-tips
3,this old house,33100,1,6175,78,4.44,http://thisoldhouse.com/
4,kitchen remodeling,135000,3,5014,49,14.2,http://thisoldhouse.com/kitchens/the-don-t-get-burned-remodeling-guide
5,orkin pest termite control,74000,3,3967,24,10.73,http://thisoldhouse.com/pest-control/orkin-vs-terminix
6,furnace maintenance,40500,3,1986,30,19.04,http://thisoldhouse.com/heating-cooling/furnace-maintenance
7,install propane tank cost,12100,2,1335,21,6.51,http://thisoldhouse.com/plumbing/propane-tank-installation-cost
8,bathtub refinishing cost,9900,2,1308,20,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
9,refinish tubs cost,9900,2,1308,20,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
10,refinish tub cost,9900,2,1308,19,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
11,refinishing tub cost,9900,2,1308,19,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
12,tub refinishing cost,9900,2,1308,19,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
13,how to clean microfiber chair,3600,1,1284,29,0.51,http://thisoldhouse.com/house-one/clean-microfiber-sofa
14,clean microfiber chair,3600,1,1284,34,1.19,http://thisoldhouse.com/house-one/clean-microfiber-sofa
15,putting gutters up,49500,2,1133,35,21.66,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
16,fixing driveways,8100,2,1122,37,16.73,http://thisoldhouse.com/driveways/driveway-repair-and-replacement-options-costs
17,how to install gutters,8100,2,1101,33,8.06,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
18,add a bathroom cost,8100,2,1101,35,14.54,http://thisoldhouse.com/bathrooms/cost-to-add-a-bathroom
19,home depot moving truck rental,201000,7,1041,28,0.26,http://thisoldhouse.com/moving/home-depot-truck-rental
20,recoating bathtub cost,9900,3,960,27,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
21,price to refinish bathtub,9900,3,955,21,9.68,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
22,seamless rain gutter installation,8100,3,943,35,28.06,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
23,fall yard fertilizer,8100,3,884,27,0.66,http://thisoldhouse.com/gardening/essential-tips-for-fall-fertilizing
24,cost to add a bathroom addition,8100,3,880,26,14.54,http://thisoldhouse.com/bathrooms/cost-to-add-a-bathroom
25,cost of adding a bathroom,8100,3,880,28,14.54,http://thisoldhouse.com/bathrooms/cost-to-add-a-bathroom
26,how to attach gutters,8100,3,853,31,8.06,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
27,gutter installation,40500,4,782,33,31.08,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
28,installing house gutters,40500,4,776,36,31.08,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
29,richard trethewey,2400,1,749,27,0,http://thisoldhouse.com/cast/richard-trethewey
30,window washer cost,1900,1,652,30,6.12,http://thisoldhouse.com/windows/window-cleaning-cost
31,garage conversion prices,6600,2,571,27,5.03,http://thisoldhouse.com/garages/garage-conversion-cost
32,garage conversion cost,6600,2,571,29,5.03,http://thisoldhouse.com/garages/garage-conversion-cost
33,gable roof shape,1600,1,519,40,16.89,http://thisoldhouse.com/roofing/roof-shapes
34,solar water heater installation,9900,2,485,26,13.64,http://thisoldhouse.com/plumbing/how-to-install-a-solar-powered-water-heater
