No,URL,Title,Est. Visits,Backlinks
1,"http://www.leafguard.com/","Leafguard: Seamless Aluminum Gutters & Clog-Free ...",19811,14312
2,"http://www.leafguard.com/blog/what-are-splash-blocks","What are Splash Blocks",1589,2
3,"http://www.leafguard.com/compare-gutters","Compare Different Gutter Types | Leafguard Gutters",839,94
4,"http://www.leafguard.com/locations","Locations: Find Gutter Guards & Installation Near You",459,273
5,"http://www.leafguard.com/blog/what-gutter-cleaning-costs","How Much Does Gutter Cleaning Cost?",314,7
6,"http://www.leafguard.com/cost","Leafguard Gutters Cost",272,65
7,"http://www.leafguard.com/blog/gutter-materials","Compare Types of Gutters: Aluminum, Copper & More",230,21
8,"http://www.leafguard.com/blog/can-i-paint-my-gutters","Can I paint my gutters?",200,4
9,"http://www.leafguard.com/locations/richmond","Gutter Guards & Installation in Richmond, VA",183,109
10,"http://www.leafguard.com/blog/how-much-does-gutter-cleaning-cost","Gutter Cleaning Cost",172,0
11,"http://www.leafguard.com/blog/how-do-i-unclog-gutter-downspout","How Do I Unclog a Gutter Downspout?",169,5
12,"http://www.leafguard.com/blog/gutter-systems","What are Gutters",147,8
13,"http://www.leafguard.com/locations/memphis","Gutter Guards & Installation in Memphis, TN",139,117
14,"http://www.leafguard.com/locations/charlotte","Gutter Guards & Installation in Charlotte, NC",113,167
15,"http://www.leafguard.com/blog/how-fix-gutter-slope","How to Fix Gutter Slope",111,2
16,"http://www.leafguard.com/locations/birmingham","Gutter Guards & Installation in Birmingham, AL",107,393
17,"http://www.leafguard.com/locations/nothern-california-leafguard-gutter-systems","Gutter Guards & Installation in N. California",98,6
18,"http://www.leafguard.com/careers","Leafguard Careers - Current Job Openings",96,384
19,"http://www.leafguard.com/reviews-testimonials","Gutter Reviews",90,81
20,"http://www.leafguard.com/locations/louisville","Gutter Guards & Installation in Louisville, KY",79,126
21,"http://www.leafguard.com/locations/nashville","Gutter Guards & Installation in Nashville, TN",78,134
22,"http://www.leafguard.com/locations/oregon","Gutter Guards & Installation in Oregon",77,319
23,"http://www.leafguard.com/blog/hanging-holiday-lights-leafguard-gutter","Hanging Christmas Lights on Gutters: A Guide",74,2
24,"http://www.leafguard.com/locations/colorado","Gutter Guards & Installation in Colorado",72,286
25,"http://www.leafguard.com/contact","Contact Leafguard | Schedule a Free Estimate",72,185
26,"http://www.leafguard.com/locations/northern-georgia","Gutter Guards & Installation in Northern Georgia",70,294
27,"http://www.leafguard.com/locations/kansas","Gutter Guards & Installation in Kansas",66,180
28,"http://www.leafguard.com/locations/cleveland","Gutter Guards & Installation in Cleveland, OH",62,407
29,"http://www.leafguard.com/blog/what-gutter-splash-guard","What is a Gutter Splash Guard",61,1
30,"http://www.leafguard.com/resources/photo-gallery","Leafguard Photo Gallery",60,53
31,"http://www.leafguard.com/locations/houston","Gutter Guards & Installation in Houston, TX",54,210
32,"http://www.leafguard.com/locations/milwaukee","Gutter Guards & Installation in Milwaukee, WI",53,274
33,"http://www.leafguard.com/locations/st-louis","Gutter Guards & Installation in St. Louis, MO",52,313
34,"http://www.leafguard.com/how-it-works","How Our Leaf Guards Keep Your Gutters Clog Free",51,163
35,"http://www.leafguard.com/locations/knoxville","Gutter Guards & Installation in Knoxville, TN",50,25
36,"http://www.leafguard.com/installation","Gutter Installation",49,66
37,"http://www.leafguard.com/blog/impact-clogged-gutters-roof-and-ceiling-leaks","Blocked & Clogged Gutters: Do They Cause Ceiling Leaks?",48,42
38,"http://www.leafguard.com/blog/damages-from-not-having-gutters","The Unusual Dangers of Not Having Gutters",47,10
39,"http://www.leafguard.com/locations/pittsburgh","Gutter Guards & Installation in Pittsburgh, PA",44,307
40,"http://www.leafguard.com/locations/idaho","Leafguard Gutter Protection in Idaho",41,85
41,"http://www.leafguard.com/blog/preventing-snow-and-ice-accumulation-your-gutters","Preventing Snow and Ice Accumulation in Your Gutters",35,1
42,"http://www.leafguard.com/locations/connecticut","Gutter Guards & Installation in Connecticut",33,639
43,"http://www.leafguard.com/locations/leafguard-san-antonio","Gutter Guards & Installation in San Antonio, TX",33,3
44,"http://www.leafguard.com/locations/columbus-dayton","Gutter Guards & Installation in Columbus–Dayton",31,25
45,"http://www.leafguard.com/blog/when-do-leaves-start-to-fall","When Do Leaves Start to Fall?",29,4
46,"http://www.leafguard.com/blog/how-often-should-you-clean-your-gutters","How Often Should You Clean Gutters",28,5
47,"http://www.leafguard.com/blog/how-keep-your-gutters-clear-ice-and-snow-winter","How to Keep Your Gutters Clear of Ice and Snow This Winter",28,1
48,"http://www.leafguard.com/locations/springfield","Gutter Guards & Installation in Springfield, IL",27,71
49,"http://www.leafguard.com/locations/michigan","Gutter Guards & Installation in Michigan",26,497
50,"http://www.leafguard.com/locations/columbia","Gutter Guards & Installation in Columbia, SC",25,84
51,"http://www.leafguard.com/blog/what-is-gutter-foam","What is Gutter Foam",24,3
52,"http://www.leafguard.com/locations/roanoke","Gutter Guards & Installation in Roanoke, VA",22,78
53,"http://www.leafguard.com/blog/karen-carratura-regional-office-administrator","Karen Carratura - Regional Office Administrator",21,0
54,"http://www.leafguard.com/locations/tri-state","Gutter Guards & Installation in the Tri-State Area",20,984
55,"http://www.leafguard.com/warranty","Warranty | Leafguard Gutters",19,113
56,"http://www.leafguard.com/blog/how-fix-a-gutter-overflow","How To Fix A Gutter That Overflows",18,0
57,"http://www.leafguard.com/locations/spokane","Gutter Guards & Installation in Spokane, WA",18,98
58,"http://www.leafguard.com/contest","Enter to Win a $100K Home Makeover",17,11
59,"http://www.leafguard.com/locations/raleigh","Gutter Guards & Installation in Raleigh, NC",17,41
60,"http://www.leafguard.com/blog/what-one-piece-gutter-system","What Are One-Piece Gutter Systems",16,12
61,"http://www.leafguard.com/resources/faq","Gutter FAQs: Gutter Installation Cost Info & More",14,135
62,"http://www.leafguard.com/blog/how-keep-leaves-out-gutters","How to Keep Leaves out of Gutters",14,0
63,"http://www.leafguard.com/locations/dc","Gutter Guards & Installation in Washington, DC",13,802
