No,Keywords,Volume,Position,Est. Visits,SEO Difficulty,CPC,Ranking URL
1,best battery powered grass trimmer,9900,1,5178,35,1.05,http://bobvila.com/reviews/best-battery-trimmers/
2,shingle,673000,10,5132,73,2.6,http://bobvila.com/articles/types-of-shingles/
3,best battery powered string trimmer,9900,1,4912,34,1.05,http://bobvila.com/reviews/best-battery-trimmers/
4,best battery operated weed eater,9900,1,4837,35,1.05,http://bobvila.com/reviews/best-battery-trimmers/
5,soil ph test kit,22200,3,2253,30,0.55,http://bobvila.com/reviews/best-ph-meters/
6,sunday lawn care,33100,3,1984,35,2.13,http://bobvila.com/articles/get-sunday-lawn-care-review/
7,hygrometer home,40500,3,1904,42,0.44,http://bobvila.com/reviews/best-hygrometers/
8,laser level best,5400,1,1854,43,1.15,http://bobvila.com/reviews/best-laser-level-options/
9,clover in grass,33100,2,1759,30,0.46,http://bobvila.com/diy/clover-and-grass-lawn/
10,pool patch,4400,1,1537,20,0.36,http://bobvila.com/articles/best-pool-patches/
11,best rated lawn sprinkler,3600,1,1413,30,0.9,http://bobvila.com/reviews/best-lawn-sprinklers/
12,best yard sprinklers,3600,1,1334,36,0.9,http://bobvila.com/reviews/best-lawn-sprinklers/
13,best battery powered trimmer,9900,2,1304,37,1.05,http://bobvila.com/reviews/best-battery-trimmers/
14,best rated electric power washers,14800,2,1295,47,1.62,http://bobvila.com/articles/best-electric-pressure-washer/
15,window caulking,9900,2,1214,30,0.91,http://bobvila.com/articles/caulking-windows/
16,best lawn edger,3600,1,1209,25,0.66,http://bobvila.com/reviews/best-lawn-edgers/
17,best edger,3600,1,1152,24,0.66,http://bobvila.com/reviews/best-lawn-edgers/
18,low maintenance landscape,3600,1,1090,19,1.87,http://bobvila.com/articles/low-maintenance-landscaping/
19,laser measure,8100,2,1011,33,0.94,http://bobvila.com/reviews/best-laser-measures/
20,how do you seal granite countertop,2900,1,996,26,0.6,http://bobvila.com/articles/how-to-seal-a-granite-countertop/
21,bob vila,27100,3,962,55,0.29,http://bobvila.com/about-bob/
22,outdoor water misting fans,9900,3,955,21,1.09,http://bobvila.com/reviews/best-outdoor-misting-fans/
23,plastic welding kit,9900,3,937,24,0.5,http://bobvila.com/articles/best-plastic-welders/
24,battery powered tiller,2900,1,933,26,0.83,http://bobvila.com/articles/best-electric-tiller/
25,no maintenance landscaping,2900,1,933,38,1.16,http://bobvila.com/articles/low-maintenance-landscaping/
26,cordless line trimmers,12100,3,909,49,0.85,http://bobvila.com/reviews/best-battery-trimmers/
27,char broil tru infrared turkey fryer,12100,3,901,32,0.28,http://bobvila.com/articles/char-broil-turkey-fryer-review/
28,low maintenance landscaping,2900,1,898,26,1.16,http://bobvila.com/articles/low-maintenance-landscaping/
29,low maintenance yard design,2400,1,891,40,0.69,http://bobvila.com/articles/low-maintenance-landscaping/
30,sealing granite tops,14800,3,887,24,0.86,http://bobvila.com/articles/how-to-seal-a-granite-countertop/
31,oscillating sprinkler,8100,3,786,29,0.48,http://bobvila.com/reviews/best-oscillating-sprinklers/
32,low maintenance landscaping ideas,2400,1,767,39,0.69,http://bobvila.com/articles/low-maintenance-landscaping/
33,pex pipe,40500,4,700,38,1.33,http://bobvila.com/articles/pex-pipe/
34,screw extractors,33100,4,700,58,0.475,http://bobvila.com/articles/best-screw-extractor/
35,true lawn,135000,6,680,37,11.06,http://bobvila.com/reviews/trugreen-lawn-care-review/
36,soil ph tester kit,22200,4,657,35,0.55,http://bobvila.com/reviews/best-ph-meters/
37,snake drain,110000,7,652,61,2.52,http://bobvila.com/reviews/best-drain-snake/
38,propane heater,110000,7,652,24,0.64,http://bobvila.com/articles/best-propane-heater/
39,gas powered weed trimmer,27100,4,627,34,0.8,http://bobvila.com/reviews/best-gas-string-trimmers/
40,gas powered string trimmer,27100,4,627,34,0.8,http://bobvila.com/reviews/best-gas-string-trimmers/
41,small a c window unit,27100,4,600,33,0.51,http://bobvila.com/reviews/best-small-window-air-conditioners/
42,painting stucco exterior,1900,1,589,23,2.6,http://bobvila.com/diy/diy-stucco-painting/
43,vinyl siding cleaners,1900,1,589,31,1.23,http://bobvila.com/articles/best-vinyl-siding-cleaner/
44,towns for sale,1900,1,589,24,1.92,http://bobvila.com/articles/towns-for-sale/
45,weed torch,22200,4,584,29,0.64,http://bobvila.com/reviews/best-weed-torches/
46,outdoor fans,27100,4,551,30,1.17,http://bobvila.com/articles/best-outdoor-fans/
47,electric garden tiller,1600,1,519,29,0.78,http://bobvila.com/articles/best-electric-tiller/
48,best gas weed trimmer,1600,1,519,32,0.75,http://bobvila.com/reviews/best-gas-string-trimmers/
49,best cordless trimmer,1600,1,519,38,0.88,http://bobvila.com/reviews/best-battery-trimmers/
50,fix sheetrock,60500,6,503,62,9.36,http://bobvila.com/articles/repairing-drywall/
51,box fan,60500,6,500,37,0.47,http://bobvila.com/articles/best-box-fan/
52,best home mold testing kit,1600,1,498,39,1.85,http://bobvila.com/reviews/best-mold-test-kits-2025/
53,best cordless string trimmer,1600,1,498,35,0.88,http://bobvila.com/reviews/best-battery-trimmers/
54,manual hole digger,14800,4,474,26,0.43,http://bobvila.com/reviews/best-post-hole-diggers/
55,granite countertop reseal,14800,4,474,29,0.86,http://bobvila.com/articles/how-to-seal-a-granite-countertop/
56,grout removal tool,14800,4,474,30,0.54,http://bobvila.com/articles/best-grout-removal-tool/
57,box fans,60500,7,436,32,0.47,http://bobvila.com/articles/best-box-fan/
58,hand dolly,60500,7,436,53,1.95,http://bobvila.com/reviews/best-hand-truck/
59,best hardwood floor cleaner machine,1300,1,427,27,1.58,http://bobvila.com/articles/best-hardwood-floor-cleaner-machine/
60,towns in america for sale,1300,1,427,33,0.72,http://bobvila.com/articles/towns-for-sale/
61,best drain snake,1300,1,427,24,1.68,http://bobvila.com/reviews/best-drain-snake/
62,best battery snow blower,1300,1,427,29,0.9,http://bobvila.com/articles/best-cordless-snow-blower/
63,water curing of concrete,1300,1,427,30,1.52,http://bobvila.com/articles/curing-concrete/
64,best hardwood floor cleaning machine,1300,1,427,23,1.58,http://bobvila.com/articles/best-hardwood-floor-cleaner-machine/
65,us towns for sale,1300,1,427,30,0.72,http://bobvila.com/articles/towns-for-sale/
66,cleaning hvac drain line,14800,4,421,22,2.24,http://bobvila.com/diy/how-to-clean-ac-drain-line-with-bleach/
67,painting stucco,880,1,420,21,3.42,http://bobvila.com/diy/diy-stucco-painting/
68,rain gutter cleaning tools,18100,4,410,31,0.61,http://bobvila.com/articles/best-gutter-cleaner/
69,weed wacker battery,18100,4,410,35,0.83,http://bobvila.com/reviews/best-battery-trimmers/
70,weed wacker battery powered,18100,4,410,40,0.83,http://bobvila.com/reviews/best-battery-trimmers/
71,towns for sale in the united states,1300,1,403,28,0.72,http://bobvila.com/articles/towns-for-sale/
72,best machine for cleaning wood floors,1300,1,401,36,1.58,http://bobvila.com/articles/best-hardwood-floor-cleaner-machine/
73,towns for sale in usa,1300,1,401,30,0.72,http://bobvila.com/articles/towns-for-sale/
74,rug deodorizer,14800,4,401,27,1.08,http://bobvila.com/reviews/best-carpet-deodorizers-2025/
75,american towns for sale,1300,1,401,33,0.72,http://bobvila.com/articles/towns-for-sale/
76,bosch 500 series dishwasher reviews,1300,1,401,25,2.33,http://bobvila.com/reviews/bosch-500-series-dishwasher-review/
77,portable propane gas heater,74000,7,386,23,0.4,http://bobvila.com/articles/best-propane-heater/
78,manual hedge cutter,12100,4,385,28,0.39,http://bobvila.com/articles/best-hedge-shears/
79,rust remover spray,12100,4,385,35,0.45,http://bobvila.com/reviews/best-rust-removers-2025/
80,manual hedge clippers,12100,4,385,28,0.39,http://bobvila.com/articles/best-hedge-shears/
81,rust cleaning spray,12100,4,385,43,0.45,http://bobvila.com/reviews/best-rust-removers-2025/
82,manual hedge trimmer,12100,4,385,28,0.39,http://bobvila.com/articles/best-hedge-shears/
83,portable lp heaters,74000,7,384,36,0.4,http://bobvila.com/articles/best-propane-heater/
84,portable propane heater,74000,7,384,34,0.4,http://bobvila.com/articles/best-propane-heater/
85,wood heater with fan,12100,4,380,26,0.45,http://bobvila.com/articles/best-wood-stove-fans/
86,storm door installation,9900,4,378,33,20.27,http://bobvila.com/articles/storm-door-installation/
87,fixing spalled concrete,4400,2,371,20,5.03,http://bobvila.com/articles/spalling-concrete/
88,fixing concrete spalling,4400,2,371,20,5.03,http://bobvila.com/articles/spalling-concrete/
89,kinds of molding,4400,2,370,36,2.13,http://bobvila.com/articles/types-of-molding/
90,caulking exterior windows,4400,2,370,24,0.89,http://bobvila.com/articles/caulking-windows/
91,mulch leaves lawn mower,4400,2,365,23,0.83,http://bobvila.com/articles/mulching-leaves/
92,best moisture meter,1000,1,358,41,1,http://bobvila.com/articles/best-moisture-meter/
93,best flexible garden hose,1000,1,358,32,0.92,http://bobvila.com/reviews/best-expandable-hoses/
94,best indoor outdoor thermometer,1000,1,358,27,0.74,http://bobvila.com/reviews/best-outdoor-thermometers/
95,mould test kit,49500,5,357,36,1.68,http://bobvila.com/reviews/best-mold-test-kits-2025/
96,exterior misting fan,9900,4,352,17,1.09,http://bobvila.com/reviews/best-outdoor-misting-fans/
97,molding,110000,8,352,46,4.58,http://bobvila.com/articles/types-of-molding/
